word;label;src;page;ctx
студентами-дипломантами;составное;1966_v6;IMG_0139_2R; но и находит время для занятий со студентами-дипломантами факультета снабжения Московского и
по-старому;составное;1966_v6;IMG_0139_2R;-новому, а поставщики его пока еще по-старому. Производство расширяется, выпуск 
есть-то;составное;1966_v6;IMG_0140_1L; лежит ненужное оборудование, ведь есть-то оно не просит». В новых условиях т
учета-отчета;составное;1966_v6;IMG_0140_1L;и новую форму расчета потребности, учета-отчета и контроля — так называемую карту 
многое-многое;составное;1966_v6;IMG_0140_1L;ак идут кооперированные поставки и многое-многое другое.  Если бы вот такую карту у
цехам-смежникам;составное;1966_v6;IMG_0140_1L;тставания, предъявляют претензии к цехам-смежникам и отделам. Диспетчер, выслушав «ст
заказ-нарядам;составное;1966_v6;IMG_0140_2R;пускаемой продукции по договорам и заказ-нарядам.  Разработаны и уже внедряются мер
снабженческо-сбытового;составное;1966_v6;IMG_0140_2R; снабжения здесь не обойтись. Роль снабженческо-сбытового звена в этих условиях возрастает в
оптово-материальных;составное;1966_v6;IMG_0140_2R;прос об оптовой торговле. Создание оптово-материальных баз избавит снабженцев от многих м
по-прежнему;составное;1966_v6;IMG_0141_1L;одержателям.  Мы, грузополучатели, по-прежнему озабочены погрузкой в порту Нагаев
транспортно-складские;составное;1966_v6;IMG_0141_1L;ас еще недостаточно механизированы транспортно-складские операции, но это еще более обязыва
сколько-нибудь;составное;1966_v6;IMG_0142_1L;ельны и применение их не оказывает сколько-нибудь заметного влияния на их работу. По
резино-асбестовые;составное;1966_v6;IMG_0143_1L;ротехнические изделия, авторезина, резино-асбестовые изделия, материалы для тары, реакт
хлопка-сырца;составное;1966_v6;IMG_0143_1L;"расход сырья на единицу продукции: хлопка-сырца или шерсти на 100 кг пряжи[^1]; пр"
хлопка-волокна;составное;1966_v6;IMG_0143_1L;ходованного сырья), например выход хлопка-волокна из хлопка-сырца, хлопчатобумажной 
физико-химического;составное;1966_v6;IMG_0144_2R;. д.)Единица измеренияЦена за 1 кг физико-химического потребителя, руб.Единица, на котор
станко-часов;составное;1966_v6;IMG_0145_1L;его: на 1000 веретен в час, на 100 станко-часов и т. п.  В некоторых случаях приме
прядильно-ткацком;составное;1966_v6;IMG_0145_1L;дильной фабрике будет иной, чем на прядильно-ткацком комбинате.  Характерной особенност
веретено-часов;составное;1966_v6;IMG_0145_1L;час. работы оборудованияКоличество веретено-часов в работеПотребное количество матер
каких-либо;составное;1966_v6;IMG_0145_2R;ется весьма несложной и не требует каких-либо особых технических знаний.  Фирма 
какого-либо;составное;1966_v6;IMG_0145_2R;олжительности вся процедура заказа какого-либо одного вида товара занимает буквал
Перфокарта-заказ;составное;1966_v6;IMG_0146_1L;асчеты и упрощающий учет издержек. Перфокарта-заказ, остающаяся у заказчика, используе
повременно-премиальную;составное;1966_v6;IMG_0146_2R;ятии решили перевести растяжчиц на повременно-премиальную оплату труда. Теперь каждая работн
товарно-денежных;составное;1966_v6;IMG_0147_1L;ытовой деятельности. Использование товарно-денежных отношений в обращении средств прои
узко-техническим;составное;1966_v6;IMG_0147_1L; снабжение предприятий является не узко-техническим, технологическим процессом, а проц
социально-экономическим;составное;1966_v6;IMG_0147_1L;ологическим процессом, а процессом социально-экономическим. В процессе снабжения совершается 
производственно-технологическую;составное;1966_v6;IMG_0147_1L;ошения, которые отражают не только производственно-технологическую связь между предприятиями, но и со
социально-экономические;составное;1966_v6;IMG_0147_1L;ую связь между предприятиями, но и социально-экономические отношения людей.  Но из того, что 
по-разному;составное;1966_v6;IMG_0147_1L;тся в каждой общественной формации по-разному.  В капиталистическом обществе обе
общего-государственное;спорно;1966_v6;IMG_0147_2R;о отдельных лиц или предприятий, а общего-государственное дело. Социалистическое государство
заказы-наряды;составное;1966_v6;IMG_0147_2R;венного назначения, выдают заводам заказы-наряды на изготовление и отгрузку средств
хозяйственно-организаторских;составное;1966_v6;IMG_0147_2R;нного снабжения — одна из основных хозяйственно-организаторских функций социалистического государс
заводам-производителям;составное;1966_v6;IMG_0148_1L;"тов;  5) выдача сбытовыми органами заводам-производителям нарядов на изготовление конкретных"
предприятию-поставщику;составное;1966_v6;IMG_0149_1L; факты, когда общая сумма выданных предприятию-поставщику заказов превышает установленную ем
погрузочно-разгрузочных;составное;1966_v6;IMG_0149_2R;енностей низок уровень механизации погрузочно-разгрузочных работ, что отрицательно сказываетс
товарно-материальных;составное;1966_v6;IMG_0150_1L;экономии, обеспечивать сохранность товарно-материальных ценностей, осуществлять систематич
финансово-экономического;составное;1966_v6;IMG_0150_1L;ает также воздействие на улучшение финансово-экономического состояния предприятия. Способствуя
Научно-исследовательский;составное;1966_v6;IMG_0150_2R;льно-техническому снабжению создан Научно-исследовательский институт экономики и организации м
экономико-математических;составное;1966_v6;IMG_0150_2R;ледования, связанные с применением экономико-математических методов и современной вычислительн
предприятия-потребителя;составное;1966_v6;IMG_0150_2R;азных норм поставок, расстояние от предприятия-потребителя до базы снабженческо-сбытовой орга
производственно-эксплуатационных;составное;1966_v6;IMG_0151_1L;олы, сополимеров и полиэтилена для производственно-эксплуатационных нужд.  Нормы запасов определяются 
предприятиях-поставщиках;составное;1966_v6;IMG_0151_1L;ения и сроков выпуска продукции на предприятиях-поставщиках, размер транзитных норм поставки х
Научно-экономического;составное;1966_v6;IMG_0151_1L;  «О направлении и практике работы Научно-экономического совета Госкомитета по снабжению» (
научно-исследовательских;составное;1966_v6;IMG_0151_1L;дчик т. Евченко И. А.).  «О работе научно-исследовательских организаций в области экономики и 
оптико-механические;составное;1966_v6;IMG_0152_2R;настоящее время магазин имеет:*  **оптико-механические изделия:**  нефелометр КОЛ-45, цен
контрольно-измерительные;составное;1966_v6;IMG_0152_2R;1 вихревых токов, цена 199 руб.  **контрольно-измерительные приборы:**  частотометр Д 577 — пе
сердечно-сосудистой;составное;1966_v6;IMG_0152_2R;"гностики заболеваний дыхательной и сердечно-сосудистой системы у человека, цена 338 руб.;"
научно-экономическом;составное;1976_dbg;0030_1L;/rubric_in_toc>  - **Якоби А.**. В научно-экономическом совете Госснаба СССР — 83 - Всесою
По-хозяйски;составное;1976_dbg;0470_2R;водства — № 8, 41 - **Миллер И.**. По-хозяйски расходовать огнеупорные материалы 
проектно-сметной;составное;1976_dbg;0470_2R;Е., Воронкова Г.**. Повышение роли проектно-сметной документации в планировании снабже
Научно-технический;составное;1976_dbg;0470_2R; - **Якоби А., Селивановский В.**. Научно-технический прогресс и материально-техническая
краны-штабелеры;составное;1976_dbg;0480_2R;ригорченко И., Певзнер Б.**. Новые краны-штабелеры — № 10, 71 - **Гуревич Л.**. Повыш
складов-магазинов;составное;1976_dbg;0480_2R; **Ежова Т., Шмарова Г.**. Проекты складов-магазинов — № 11, 71 - **Мощалков А., Суббот
Социально-психологические;составное;1976_dbg;0490_1L;вания — № 11, 81 - **Новиков Д.**. Социально-психологические проблемы автоматизации управления 
санитарно-технического;составное;1976_dbg;0490_2R;поставки строительных материалов и санитарно-технического оборудования — № 6, 94 - Об измене
топливно-энергетических;составное;1976_dbg;0490_2R; использования сырья, материалов и топливно-энергетических ресурсов — № 11, 90 - О проведении
контрольно-ревизионном;составное;1976_dbg;0490_2R;ов — № 7, 93 - Типовое положение о контрольно-ревизионном отделе и контрольно-ревизионной гр
контрольно-ревизионной;составное;1976_dbg;0490_2R; о контрольно-ревизионном отделе и контрольно-ревизионной группе отдела бухгалтерского учета
ва-лютных;перенос;p47;IMG_0648_R;
кре-диты;перенос;p47;IMG_0648_R;
фи-нансовом;перенос;p47;IMG_0648_R;
миллио-нов;перенос;p47;IMG_0648_R;
ли-зинговая;перенос;p47;IMG_0648_R;
кредито-ра;перенос;p47;IMG_0648_R;
достиг-нуть;перенос;p47;IMG_0648_R;
ли-зинговая;перенос;p47;IMG_0648_R;
заинтере-сована;перенос;p47;IMG_0648_R;
дополне-ния;перенос;p47;IMG_0648_R;
ком-пания;перенос;p47;IMG_0648_R;
орга-низация;перенос;p47;IMG_0648_R;
учрежде-ние;перенос;p47;IMG_0648_R;
участву-ет;перенос;p47;IMG_0648_R;
проконсульти-ровать;перенос;p47;IMG_0648_R;
конт-ракт;перенос;p47;IMG_0648_R;
инди-видуальной;перенос;p47;IMG_0648_R;
кре-дитного;перенос;p47;IMG_0648_R;
опреде-лены;перенос;p47;IMG_0648_R;
эконо-мику;перенос;p47;IMG_0648_R;
Совет-ского;перенос;p47;IMG_0648_R;
Мифи-нанц;спорно;p47;IMG_0648_R;
Насьо-наль;спорно;p47;IMG_0648_R;
международ-ного;перенос;p47;IMG_0648_R;
претенду-ет;перенос;p47;IMG_0648_R;
заинтересован-ных;перенос;p47;IMG_0648_R;
финансирова-ния;перенос;p47;IMG_0648_R;
фи-нансирования;перенос;p47;IMG_0648_R;
разви-тия;перенос;p47;IMG_0648_R;
Одна-ко;перенос;p47;IMG_0648_R;
засомнева-лись;перенос;p47;IMG_0648_R;
примене-ния;перенос;p47;IMG_0648_R;
лизинго-вых;перенос;p47;IMG_0648_R;
когда-нибудь;составное;p47;IMG_0648_R;
собственно-сти;перенос;p47;IMG_0648_R;
пере-ходит;перенос;p47;IMG_0648_R;
распоря-жаются;перенос;p47;IMG_0648_R;
от-ношения;перенос;p47;IMG_0648_R;
потре-бителя;перенос;p47;IMG_0648_R;
